"No.","Time","Source","Destination","Protocol","Length","Info"
"74","5.855953","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"76","5.871052","142.250.206.106","10.194.39.28","UDP","69","443  >  63293 Len=27"
"113","8.739153","142.250.206.106","10.194.39.28","UDP","77","443  >  63293 Len=35"
"114","8.750730","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"116","8.953893","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"118","8.964232","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"122","9.170142","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"124","9.188136","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"126","9.403723","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"132","9.422088","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"134","9.622603","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"135","9.637864","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"140","9.838339","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"141","9.855587","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"147","10.070198","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"148","10.087283","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"152","10.491869","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"157","10.502323","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"164","11.101368","10.194.39.28","10.10.1.4","DNS","80","Standard query 0x9bc2 A accounts.youtube.com"
"167","11.147080","10.10.1.4","10.194.39.28","DNS","124","Standard query response 0x9bc2 A accounts.youtube.com CNAME www3.l.google.com A 142.250.207.206"
"168","11.148929","10.194.39.28","142.250.207.206","QUIC","1292","Initial, DCID=9467970f690adeb9, PKN: 1, CRYPTO"
"169","11.149046","10.194.39.28","142.250.207.206","QUIC","1292","Initial, DCID=9467970f690adeb9, PKN: 2, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO"
"171","11.158872","142.250.207.206","10.194.39.28","QUIC","82","Initial, SCID=f467970f690adeb9, PKN: 1, ACK"
"173","11.158872","142.250.207.206","10.194.39.28","QUIC","1292","Initial, SCID=f467970f690adeb9, PKN: 2, ACK, PADDING"
"174","11.158872","142.250.207.206","10.194.39.28","QUIC","1292","Initial, SCID=f467970f690adeb9, PKN: 3, CRYPTO, PADDING"
"175","11.158872","142.250.207.206","10.194.39.28","QUIC","1292","Initial, SCID=f467970f690adeb9, PKN: 4, CRYPTO, PADDING"
"177","11.159686","10.194.39.28","142.250.207.206","QUIC","1292","Initial, DCID=f467970f690adeb9, PKN: 3, ACK, PADDING"
"186","11.173749","10.194.39.28","142.250.207.206","QUIC","79","Handshake, DCID=f467970f690adeb9"
"187","11.204928","10.194.39.28","142.250.207.206","QUIC","79","Handshake, DCID=f467970f690adeb9"
"189","11.233133","142.250.207.206","10.194.39.28","QUIC","1292","Handshake, SCID=f467970f690adeb9"
"190","11.233133","142.250.207.206","10.194.39.28","QUIC","1292","Handshake, SCID=f467970f690adeb9"
"191","11.233133","142.250.207.206","10.194.39.28","QUIC","1292","Handshake, SCID=f467970f690adeb9"
"192","11.233133","142.250.207.206","10.194.39.28","QUIC","869","Protected Payload (KP0)"
"193","11.233133","142.250.207.206","10.194.39.28","QUIC","85","Handshake, SCID=f467970f690adeb9"
"197","11.233634","10.194.39.28","142.250.207.206","QUIC","81","Handshake, DCID=f467970f690adeb9"
"198","11.234907","10.194.39.28","142.250.207.206","QUIC","210","Protected Payload (KP0), DCID=f467970f690adeb9"
"200","11.236207","10.194.39.28","142.250.207.206","QUIC","1288","Protected Payload (KP0), DCID=f467970f690adeb9"
"201","11.236299","10.194.39.28","142.250.207.206","QUIC","929","Protected Payload (KP0), DCID=f467970f690adeb9"
"204","11.250009","142.250.207.206","10.194.39.28","QUIC","996","Protected Payload (KP0)"
"205","11.250009","142.250.207.206","10.194.39.28","QUIC","179","Protected Payload (KP0)"
"207","11.250009","142.250.207.206","10.194.39.28","QUIC","65","Protected Payload (KP0)"
"209","11.250390","10.194.39.28","142.250.207.206","QUIC","76","Protected Payload (KP0), DCID=f467970f690adeb9"
"210","11.250470","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"211","11.278599","142.250.207.206","10.194.39.28","QUIC","70","Protected Payload (KP0)"
"213","11.312321","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"214","11.312321","10.194.39.28","142.250.207.206","QUIC","74","Protected Payload (KP0), DCID=f467970f690adeb9"
"215","11.326065","142.250.207.206","10.194.39.28","QUIC","64","Protected Payload (KP0)"
"216","11.326065","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"217","11.326420","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"218","11.400203","142.250.207.206","10.194.39.28","QUIC","1288","Protected Payload (KP0)"
"219","11.400203","142.250.207.206","10.194.39.28","QUIC","380","Protected Payload (KP0)"
"220","11.400203","142.250.207.206","10.194.39.28","QUIC","76","Protected Payload (KP0)"
"221","11.400203","142.250.207.206","10.194.39.28","QUIC","90","Protected Payload (KP0)"
